Incident_Id,Year,State,Region
144189,2010,California,West
144190,2010,California,West
144191,2010,California,West
144192,2010,California,West
144193,2010,California,West
144194,2010,California,West
144195,2010,California,West
144196,2010,California,West
144197,2010,California,West
147887,2010,California,West
147888,2010,California,West
147889,2010,California,West
147890,2010,California,West
147891,2010,California,West
147892,2010,California,West
147893,2010,California,West
147894,2010,California,West
147895,2010,California,West
147896,2010,California,West
147897,2010,California,West
147898,2010,California,West
147899,2010,California,West
147900,2010,California,West
147901,2010,California,West
147902,2010,California,West
147903,2010,California,West
148164,2010,California,West
148165,2010,California,West
148166,2010,California,West
148167,2010,California,West
148168,2010,California,West
148169,2010,California,West
148170,2010,California,West
148171,2010,California,West
144198,2010,California,West
144199,2010,California,West
147904,2010,California,West
147905,2010,California,West
147906,2010,California,West
144200,2010,California,West
144201,2010,California,West
147907,2010,California,West
147908,2010,California,West
144202,2010,California,West
144203,2010,California,West
144204,2010,California,West
144205,2010,California,West
147909,2010,California,West
147910,2010,California,West
147911,2010,California,West
147912,2010,California,West
147913,2010,California,West
147914,2010,California,West
144206,2010,California,West
144207,2010,California,West
147915,2010,California,West
147916,2010,California,West
147917,2010,California,West
144142,2010,California,West
144143,2010,California,West
148132,2010,California,West
148133,2010,California,West
148134,2010,California,West
144144,2010,California,West
144145,2010,California,West
144146,2010,California,West
144147,2010,California,West
144148,2010,California,West
144149,2010,California,West
144150,2010,California,West
144208,2010,California,West
144209,2010,California,West
144210,2010,California,West
144211,2010,California,West
144212,2010,California,West
144213,2010,California,West
144214,2010,California,West
144215,2010,California,West
144216,2010,California,West
144217,2010,California,West
144218,2010,California,West
144219,2010,California,West
144220,2010,California,West
144221,2010,California,West
144222,2010,California,West
144223,2010,California,West
144224,2010,California,West
144225,2010,California,West
144226,2010,California,West
144227,2010,California,West
144228,2010,California,West
144229,2010,California,West
144230,2010,California,West
144231,2010,California,West
144232,2010,California,West
144233,2010,California,West
144234,2010,California,West
144235,2010,California,West
144236,2010,California,West
144237,2010,California,West
144238,2010,California,West
147918,2010,California,West
147919,2010,California,West
147920,2010,California,West
147921,2010,California,West
147922,2010,California,West
147923,2010,California,West
147924,2010,California,West
147925,2010,California,West
147926,2010,California,West
147927,2010,California,West
147928,2010,California,West
147929,2010,California,West
147930,2010,California,West
147931,2010,California,West
147932,2010,California,West
147933,2010,California,West
147934,2010,California,West
147935,2010,California,West
147936,2010,California,West
147937,2010,California,West
147938,2010,California,West
147939,2010,California,West
147940,2010,California,West
147941,2010,California,West
147942,2010,California,West
147943,2010,California,West
147944,2010,California,West
147945,2010,California,West
147946,2010,California,West
147947,2010,California,West
147948,2010,California,West
147949,2010,California,West
147950,2010,California,West
144239,2010,California,West
147951,2010,California,West
144240,2010,California,West
147952,2010,California,West
147953,2010,California,West
144241,2010,California,West
144242,2010,California,West
147954,2010,California,West
147955,2010,California,West
144243,2010,California,West
147956,2010,California,West
144244,2010,California,West
147957,2010,California,West
144245,2010,California,West
147958,2010,California,West
150204,2010,California,West
149485,2010,California,West
144246,2010,California,West
149486,2010,California,West
144247,2010,California,West
149487,2010,California,West
149488,2010,California,West
144248,2010,California,West
149489,2010,California,West
144249,2010,California,West
149490,2010,California,West
149491,2010,California,West
144250,2010,California,West
144251,2010,California,West
149492,2010,California,West
149493,2010,California,West
144252,2010,California,West
149494,2010,California,West
144253,2010,California,West
149495,2010,California,West
144254,2010,California,West
149496,2010,California,West
149497,2010,California,West
144255,2010,California,West
144256,2010,California,West
144257,2010,California,West
149498,2010,California,West
149499,2010,California,West
149500,2010,California,West
149501,2010,California,West
144258,2010,California,West
149502,2010,California,West
144259,2010,California,West
144260,2010,California,West
144261,2010,California,West
144262,2010,California,West
144263,2010,California,West
